sgRNA	Gene	M07e-J4-1	M07e-J4-2	M07e-J4-3	M07e-J11-1	M07e-J11-2	M07e-J11-3	M07e-J18-1	M07e-J18-2	M07e-J18-3	M07e-J25-1	M07e-J25-2	M07e-J25-3
ZMYM3.506	ZMYM3	1781.9820807168162	1474.9604586302412	1391.0043138102176	1223.2044741303039	1050.2256314115775	1490.5799312536592	993.0716757365072	1173.3951423091125	922.6110522820778	467.3778142254279	638.7460046356208	496.1016168300552
UHRF2.778	UHRF2	3249.3121075510066	3623.903974327312	3138.8171532623614	3637.800562205468	3234.475658262353	3592.26530070025	4118.027597337394	3912.620913410719	3823.3739042502652	3595.30100676558	4163.284380598157	3449.239843465739
HCFC2.1381	HCFC2	604.1947169317255	1067.416516487614	869.5149301797097	931.3214819288594	1195.1113449172763	982.9420804796364	1116.2170826253346	1192.9517280142645	930.507865853679	884.9623504219967	1203.1622312381962	1187.4432247996806
RPS6KA4.1174	RPS6KA4	644.9974770362056	629.1615237150944	845.3617376747178	703.064210098302	754.9720422675323	593.3219466053068	408.9783237959222	717.0748091889021	934.4562726394796	703.8958848625089	637.112383140389	686.0071819822053
CLNS1A.866	CLNS1A	917.2774338872559	835.0085657749142	820.1106727831353	1262.9705493621082	1181.7975225951309	1356.3954038197614	1416.7370664090786	1018.246229048241	1493.8139006279005	1507.378325782736	1038.9832709674035	1771.0294278234228
PCGF2.1394	PCGF2	827.8252290428186	937.9320868048242	1058.3489806732832	1282.8535869780105	1428.4948185642934	1168.8604016229885	1182.8737707578193	1192.9517280142645	1343.774442767477	1505.1149949632425	1364.890759266141	1058.3501159041177
JDP2.2471	JDP2	834.1025767512002	906.3910077795292	781.6851392524663	1217.6372235978513	990.7050139713987	1023.3591068151477	1103.7895644989392	1237.279988945942	1343.774442767477	1178.0636915464177	1439.2205372991864	1033.811756361986
TLK2.2076	TLK2	1161.309326050589	957.8527682944841	950.7574867874099	1436.3506373727755	1527.9569029709082	1285.2614374692614	1164.7973807557896	1380.6949507837226	1237.1674595508605	1317.2585369452738	1583.7960396271978	1537.3815695744292
RCC1.2044	RCC1	1287.6409486817681	1490.7309981428887	1135.2000477346212	1983.5318325624041	1677.541612590305	1940.0172641045453	1707.089080816681	1280.3044774972761	1726.769900990137	1880.8279109991797	1483.3283176704442	1656.872711692636
ZBTB16.2070	ZBTB16	290.3273315126473	210.82721243223483	240.43405266332883	253.70755997891217	360.25636871687226	370.2199612332841	568.276510688809	224.24884941907484	309.2918648877151	345.1579499727737	478.65109810290767	314.73113325777695
CTR9.2003	CTR9	1268.0242370930757	1298.164410409509	1264.7489893523052	1148.4442526945115	913.9547441143259	971.6253131056932	699.3303382035244	435.4599750347151	485.65403465347606	388.16123554315203	369.19845792237925	591.0543994061303
ZMYM3.896	ZMYM3	997.3136171691208	883.9802411036617	1136.2979201212117	735.6723917883817	740.0918879074875	573.9217739642613	415.75697004668336	541.0655378425353	305.34345810191445	264.8097058807509	85.76512849966775	296.59408490054915
SP100.1253	SP100	662.2601832342549	744.5354706760419	777.2936497061042	699.8829240797577	929.6180644933203	813.1905698704886	685.7730457020022	808.3388758129443	722.5584418015131	920.0439781241474	882.155607425154	732.9501306715009
CDK2.876	CDK2	1106.3825336022505	1001.0142448554142	1000.1617441839843	1016.4208829249209	1263.246788565902	1367.7121711937045	841.6819094695085	1496.7306926342903	1163.4638662159155	1943.0695085352536	1635.2551167269985	1433.893705418482
MINA.4591	MINA	641.8588031820149	384.30314707135716	576.3830029600349	320.5145663683436	167.59752805524056	428.42047915642047	268.88630128019196	297.26010271830853	219.79464440956775	177.67146933024742	61.260806071191254	88.55147139117115
EMG1.349	EMG1	1437.512625219378	1693.2579266210985	1736.8341155862386	454.92390065184253	658.6426219367164	780.8569488020795	441.74178067460105	245.10920750457018	175.04603417049407	325.91963800707805	427.192021003107	199.50753192950606
